z,M,n,lower,upper,d,dist_indices,year
2.930870177950569,69.25,2.0367651777021996,1.9685650464208728,0,0.3521978439735811,1,2013
3.481379037105842,63.5,1.9027420170474123,1.9693475402191811,0,0.4368822973436706,1,2013
2.118962010041709,20.5,0.15466938058114524,1.9893185571365724,0,0.46800041692706046,1,2013
4.3920382511995495,61,1.8406402784109674,1.969733992272378,0,0.5623428742295231,1,2013
5.315072906367325,58.75,1.7825326928792131,1.9701100622681027,0,0.6934342534298311,1,2013
2.262741699796952,10.5,-0.8797652664250224,2.0180817028184443,0,0.6982972487551756,1,2014
3.0740852297878796,6.25,-1.6818855446738314,2.0595385527532977,0,1.2296340919151518,1,2013
2.0976176963403033,35,0.9817277064430746,1.977053719657091,0,0.35456210417116735,1,2014
2.7730849247724096,40.5,1.207390762729947,1.9747157859237872,0,0.43574825669172396,1,2014
3.0166206257996713,24,0.39838350012046964,1.984984311522457,0,0.6157651067303722,1,2014
4.455333881989093,10.5,-0.8797652664250224,2.0180817028184443,0,1.3749458863810569,1,2004
4.319722213291035,10.75,-0.8433841659385457,2.016692199227824,0,1.3175029235217552,1,2004
4.306971093471606,12,-0.6733089842442926,2.010634757624232,0,1.2433154601038845,1,2004
